Question Number,student id1,student id2,student id3,student id4,student id5,student id6,student id7,student id8,student id9,student id10,student id11,student id12,student id13
114,B,B,B,C,C,B,,,A,,B,,B
115,B,B,B,B,B,B,,D,B,,B,,B
116,A,A,A,C,A,A,,,C,D,A,A,D
117,B,A,A,A,B,A,,A,B,A,A,,A
118,D,C,C,C,C,C,,C,B,B,D,,C
119,C,C,C,C,D,C,A,C,D,D,C,A,C
120,A,A,A,A,A,A,A,C,A,A,A,A,A
121,A,D,A,A,B,D,D,A,B,,D,A,D
122,A,A,A,A,A,A,,A,A,,B,A,A
123,B,B,B,D,B,B,A,B,D,,A,,D
124,D,D,D,D,D,D,D,D,D,D,A,D,D
125,B,B,B,B,A,B,,D,D,,D,B,B
126,B,B,B,B,B,B,,,D,,B,B,B
127,C,C,C,C,C,C,C,C,C,C,C,C,C
128,B,D,B,D,C,C,,D,B,C,B,D,D
129,C,C,C,D,C,C,,C,,,,D,C
130,D,D,D,D,A,D,,A,A,D,A,A,D
131,C,C,C,C,D,C,A,C,C,A,C,C,C
132,A,A,,A,A,A,,A,A,A,A,A,A
133,A,B,B,B,B,B,,A,B,A,A,C,B
134,D,D,D,D,D,D,,B,,,D,D,C
135,A,B,B,B,B,B,B,B,,D,,A,B
136,B,B,B,B,B,B,B,B,C,,D,B,B
137,D,D,D,D,B,D,B,D,D,B,B,,D
138,B,B,B,B,B,B,B,B,B,C,B,B,B
139,D,D,D,B,A,D,A,D,D,A,D,D,D
140,B,B,B,B,B,B,B,B,B,,D,B,B
141,C,C,C,C,C,A,C,C,,B,C,A,C
142,D,D,D,D,D,D,D,D,D,D,D,D,D
143,C,C,C,C,D,C,,C,D,,A,C,D
144,A,A,A,A,A,A,A,A,A,A,A,C,A
145,D,D,D,D,A,D,A,D,C,D,D,D,D
146,B,B,B,D,B,B,A,B,B,B,B,B,B
147,C,C,A,C,C,C,C,C,C,C,C,C,C
148,A,A,,D,A,A,A,A,D,,A,A,A
149,C,C,A,A,A,,A,A,A,,,C,C
150,B,B,B,B,B,B,B,B,B,B,B,B,B
151,A,A,A,A,A,A,A,A,A,A,A,A,A
152,B,B,B,B,B,B,A,B,B,,B,B,B
153,D,D,D,A,B,D,D,,,B,D,,D
154,A,A,A,A,A,A,A,A,A,A,A,A,A
155,B,B,B,B,D,D,D,D,B,B,B,B,B
156,D,D,D,B,D,D,,D,D,D,D,D,B
157,B,C,C,B,D,B,,B,D,B,B,B,B
158,B,B,B,B,B,B,B,B,C,,B,B,B
159,C,C,C,C,B,C,C,C,C,,C,C,C
160,A,A,A,A,A,A,A,A,A,A,A,A,A
161,D,D,A,A,D,D,,D,D,D,D,D,D
162,C,C,A,C,A,,A,A,,,A,B,B
163,C,D,D,D,A,C,D,C,D,,A,C,D
164,,A,A,C,C,A,,,A,A,C,,B
165,A,A,A,A,A,A,A,A,A,,A,A,A
166,D,B,B,B,B,B,B,B,B,,B,B,B
167,A,A,A,A,B,A,,A,B,,,A,B
168,A,C,C,A,A,C,,A,A,C,C,A,C
169,B,B,B,A,B,B,,B,B,,A,,B
170,B,B,B,B,B,B,,B,B,,B,A,B
171,C,C,C,A,B,C,B,C,C,B,C,C,C
172,D,D,D,D,C,D,,C,B,,D,D,D
173,A,B,A,C,A,B,,A,,,,A,A
174,C,C,C,C,C,C,,C,B,A,C,,C
175,B,B,B,B,B,B,C,A,,,B,B,B
176,B,D,C,A,D,D,,C,C,B,D,D,A
177,,A,A,C,A,B,,A,,,,,A
178,C,C,D,B,B,D,,C,D,A,D,,B
179,A,A,A,A,D,A,A,,,,A,,A
180,D,D,D,D,D,D,D,D,D,D,D,D,D
